 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Plan-S,Plan-G,Plan-F,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Founder's Whoopsie Chest,Founder's Platinum Chest,Small Stones,Green Hedge,Palm Tree,Wooden Barrel,Small Sand Castle,Medium Sand Castle,Large Sand Castle,Small Fishbone,Purple Conch Shell,Bush,Orange Starfish,Pink Shell on Rock,Skeleton with Rum,Wrecked Cannon,Wrecked Hull,Wrecked Crow's Nest,Blue Starfish,White Clam and Driftwood,Yellow Sea Flower,Small Rock and Driftwood,Red Crate,Yellow Crate,Purple Crate,Black Crate,Grey Crate,White Crate,Founder's Bronze Chest,Founder's Trade License,Founder's Silver Chest,Pirate Pathway,Short Palm Tree,Small Conch Shell,Purple Palm,Founder's Gold Chest,The Dealer's Tablet,Old Salt's Tablet,Idol Dust,[FG] Gauntlet Chest I,[FG] Gauntlet Chest II,[FG] Gauntlet Chest III,[FG] Gauntlet Chest IV,Haunted Pathway,Weathered Headstone,Mint Day Cake,Pirate Nation Flag,Gold Pirate Statue,Cherry Blossom Tree,,Energy Coil,Pirate Archway,Tiki Head Statue,Barrrbecue,Stone Pathway,Kelp,Iron Cannon,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Iron Armor,Gold Keg Statue,Iron Sights,Fish Food,Crate of Bananas,Pirate Crypt,Founder's Iron Chest,Swashbuckler's Squash,A Toast!,Scallywag's Gourd,Inflatable Pirate,Ghoulwood Tree,Chronicles of Converts,Broseph's Tablet,Orange Crate,Founder's Oops!...I Did It Again Chest,Broseph's Idol I,Broseph's Idol II,Completed Idol: Broseph,Old Salt's Idol I,Old Salt's Idol III,Fishing Poles,The Dealer's Idol I,The Dealer's Idol II,Broseph's Idol III,The Dealer's Idol III
1.0,0x98a24dcdd8a76ce9efee11da457e2823341c9806,10.0,0.0,0.86,0.0,67.0,2.0,5.0,1181404.0,18.0,16.0,39.0,1.0,,,,989.0,15.0,,1.0,,0.0,,0.0,,,,0.0,,0.0,,1.0,344.0,974.0,1251.0,2030.0,15.0,20.0,25.0,10.0,147.0,158.0,120.0,,,1.0,0.0,0.0,41.0,72.0,24.0,66.0,62.0,29.0,404.0,215.0,21.0,,223.0,19.0,17.0,17.0,16.0,51.0,49.0,51.0,55.0,1.0,1.0,1.0,22.0,305.0,392.0,222.0,12.0,16.0,1.0,30.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,59.0,2.0,20.0,9.0,7.0,44.0,1.0,28.0,1.0,2.0,2.0,1.0,2.0,7.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,8.0,9.0,8.0,2.0,6.0,2.0,206.0,347.0,606.0,16.0,1.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x42ebba25ba063d78839913005e628dbc03ae4212,1.0,3.0,22.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,,0.0,,0.0,,1.0,,,,0.0,,0.0,,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,24.0,28.0,,,0.0,0.0,1.0,0.0,3.0,1.0,5.0,3.0,0.0,12.0,24.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,10.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0xe1428259d435b2410b4416ba65a03a4518f6481f,8.0,5.0,1.58,0.0,83.0,1.0,1.0,6825.0,0.0,1.0,0.0,0.0,,,,10.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,12.0,7.0,115.0,129.0,102.0,23.0,0.0,24.0,0.0,22.0,6.0,14.0,,,0.0,0.0,0.0,1.0,5.0,12.0,4.0,23.0,3.0,48.0,47.0,0.0,,23.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0x3d565e8d54956249d3ea40a163f4cc43fac0ee72,8.0,15.0,1.59,0.0,82.0,1.0,0.0,6600.0,0.0,1.0,0.0,0.0,,,,15.0,3.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,6.0,23.0,62.0,99.0,54.0,21.0,12.0,36.0,0.0,26.0,4.0,12.0,,,0.0,0.0,0.0,1.0,8.0,13.0,4.0,14.0,2.0,52.0,52.0,2.0,,18.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,14.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0xddeb4ac91c1b436058fc6fd7f43d3325b6c2b140,7.0,7.0,1.59,0.0,82.0,1.0,0.0,6600.0,0.0,1.0,0.0,0.0,,,,15.0,1.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,8.0,18.0,91.0,112.0,60.0,38.0,7.0,9.0,0.0,24.0,18.0,12.0,,,0.0,0.0,0.0,1.0,12.0,10.0,10.0,22.0,4.0,50.0,44.0,1.0,,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0xeaafb909406100ccec19f7f5e741e6e56460bb2b,8.0,25.0,1.71,0.0,82.0,1.0,1.0,6275.0,0.0,1.0,0.0,0.0,,,,15.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,10.0,28.0,110.0,133.0,101.0,31.0,12.0,21.0,0.0,20.0,10.0,13.0,,,0.0,0.0,0.0,0.0,18.0,4.0,6.0,14.0,2.0,47.0,55.0,2.0,,19.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0x43157bc98b4d0fb5ebfa2ae300b46626b8140eb8,8.0,24.0,1.7,0.0,83.0,1.0,1.0,6425.0,0.0,1.0,0.0,0.0,,,,15.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,13.0,24.0,113.0,131.0,106.0,44.0,8.0,28.0,0.0,16.0,12.0,15.0,,,0.0,0.0,0.0,0.0,10.0,6.0,8.0,13.0,3.0,53.0,63.0,0.0,,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0x9f23d732f3684e19942727fb500553a289346882,7.0,2.0,1.8,0.0,83.0,1.0,0.0,7225.0,1.0,0.0,0.0,0.0,,,,15.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,7.0,9.0,112.0,86.0,58.0,35.0,10.0,17.0,0.0,24.0,12.0,18.0,,,0.0,0.0,0.0,0.0,12.0,16.0,8.0,26.0,3.0,47.0,71.0,0.0,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0xb38e6cc7727270b6e334b851b199de4a0d41b96b,8.0,30.0,1.7,0.0,83.0,1.0,1.0,6275.0,0.0,1.0,0.0,0.0,,,,15.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,12.0,20.0,110.0,128.0,106.0,25.0,7.0,21.0,0.0,22.0,13.0,9.0,,,0.0,0.0,0.0,1.0,10.0,8.0,6.0,15.0,4.0,35.0,42.0,0.0,,22.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0xfa13097bc86fc52a3df5790670cf8e7f97c0d28d,8.0,30.0,1.71,0.0,83.0,1.0,1.0,6900.0,0.0,1.0,0.0,0.0,,,,15.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,13.0,24.0,113.0,130.0,97.0,17.0,4.0,18.0,0.0,16.0,6.0,21.0,,,0.0,0.0,0.0,1.0,3.0,20.0,8.0,19.0,3.0,35.0,39.0,1.0,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
