 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Plan-S,Plan-G,Plan-F,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Completed Plan: Skiff,Founder's Whoopsie Chest,Bruce Totem,Founder's Oops!...I Did It Again Chest,Founder's Platinum Chest,Bandana,Sextant,Beach Loungers,Small Stones,Green Hedge,Palm Tree,Skeleton on a Rock,Wooden Barrel,Small Sand Castle,Medium Sand Castle,Large Sand Castle,Small Fishbone,Grass Tuft,Purple Conch Shell,Bush,Green Bottle,Skull Wagon,Orange Starfish,Pink Shell on Rock,Skeleton with Rum,Wrecked Cannon,Wrecked Crow's Nest,Wrecked Mast,Blue Starfish,White Clam and Driftwood,Yellow Sea Flower,Small School of Silver Fish,Purple Clam Shell,Scuttled Cargo,Small Rock and Driftwood,Small Algae Bloom,Red Crate,Orange Crate,Founder's Iron Chest,Yellow Crate,Green Crate,Blue Crate,Purple Crate,Brown Crate,Black Crate,Dark Grey Crate,Grey Crate,Light Grey Crate,White Crate,Founder's Bronze Chest,Founder's Trade License,Bird of Paradise Plant,Pirate Lamp,Founder's Silver Chest,Pirate Pathway,Short Palm Tree,Tiki Totem,Small Conch Shell,Purple Palm,Pipo's Periwinkle,Swashbuckler's Squash,Scallywag's Gourd,Plunderer's Pumpkin,The Scurvy Specter,Haunted Pathway,Ghoulwood Tree,Chronicles of Converts,Weathered Headstone,Pirate's Gravestone,Captain's Altar,Eternal Rest,Davy's Knuckles,A Toast!,Haunted Archway,Pirate Crypt,,Mint Day Cake,Pirate Nation Flag,Gold Pirate Statue,Cherry Blossom Tree,Energy Coil,Triple Wind Mill,Hammock,Pirate Archway,Tiki Head Statue,Inflatable Pirate,Barrrbecue,Stone Pathway,Kelp,Iron Cannon,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Iron Armor,Gold Keg Statue,Iron Sights,The Dealer's Tablet,Old Salt's Tablet,Idol Dust,Broseph's Tablet
1.0,0x48f56833b5088204a51a5d0e5f3288ead9779a7d,10.0,0.0,0.04,0.39,150.0,1.0,0.0,803334.0,1.0,7.0,16.0,,1.0,2.0,1.0,419.0,35.0,10.0,11.0,12.0,15.0,7.0,8.0,10.0,8.0,12.0,8.0,6.0,7.0,0.0,394.0,178.0,8996.0,18892.0,23941.0,1732.0,1881.0,2409.0,10.0,709.0,1357.0,936.0,8.0,50.0,36.0,11.0,39.0,23.0,318.0,225.0,440.0,185.0,,2702.0,700.0,108.0,4.0,1010.0,394.0,373.0,299.0,170.0,26.0,35.0,35.0,25.0,1.0,4.0,11.0,6.0,4.0,1.0,3.0,3.0,1.0,20.0,538.0,375.0,1.0,223.0,7.0,5.0,2.0,7.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,20.0,29.0,3.0,20.0,20.0,20.0,20.0,20.0,390.0,20.0,21.0,20.0,21.0,2.0,5.0,1.0,25.0,5.0,8.0,25.0,3.0,2.0,8.0,2.0,20.0,11.0,12.0,2.0,116.0,9.0,147.0,16.0,1.0,7.0,12.0,4.0,1.0,3.0,12.0,1.0,1.0,48.0,3.0,2.0,4.0,2.0,3.0,2.0,18.0,6.0,33.0,113.0,65.0,17.0,32.0,582.0,1136.0,765.0,29.0,14.0,25.0,0.0,0.0,0.0,0.0
2.0,0x1f39788c669874f420f7000948550c5a5b77225c,10.0,0.0,0.17,0.0,150.0,1.0,0.0,10435.0,0.0,0.0,1.0,,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,214.0,79.0,30.0,0.0,2.0,0.0,0.0,12.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,12.0,,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0x23c8eab497a788a6de9a0ecd7d1d2606ccdb8b73,10.0,0.0,0.15,0.0,150.0,1.0,0.0,9932.0,0.0,0.0,1.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,231.0,52.0,33.0,1.0,0.0,2.0,0.0,21.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.0,4.0,,0.0,0.0,0.0,0.0,6.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0x290300855bf6de953f7119d6894cc4c91d4e325a,10.0,0.0,0.41,0.0,150.0,1.0,0.0,10235.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,219.0,22.0,24.0,0.0,0.0,0.0,0.0,21.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.0,8.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0x2933687dfb554c49122adaff49ad28f0bfa97ece,10.0,0.0,0.13,0.0,150.0,1.0,0.0,9837.0,0.0,0.0,0.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,247.0,32.0,24.0,1.0,0.0,1.0,0.0,18.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,8.0,8.0,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0x29396cebe4cc6fd93e5cd8e7709e24da6329cfc7,10.0,0.0,0.53,0.0,150.0,1.0,0.0,10962.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,207.0,30.0,16.0,1.0,0.0,0.0,0.0,30.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,14.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0x2d4d3e1dbcb716cf4f91a90763cdb7f1a67b5e01,10.0,0.0,0.33,0.0,150.0,1.0,0.0,10735.0,0.0,0.0,1.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,212.0,54.0,64.0,0.0,0.0,1.0,0.0,16.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,10.0,6.0,,2.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0x45199bf8ea32f6c712ecabf95c22ebf86dbda3d7,10.0,0.0,0.57,0.0,150.0,1.0,0.0,10345.0,0.0,0.0,1.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,244.0,20.0,28.0,1.0,1.0,1.0,0.0,12.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,12.0,4.0,,3.0,1.0,0.0,0.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0x514df899985d8f37aad808095872c405cf52cd75,10.0,0.0,0.11,0.0,150.0,1.0,0.0,9982.0,0.0,0.0,0.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,189.0,64.0,31.0,0.0,0.0,0.0,0.0,22.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,8.0,8.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0x553f0b07bb53cc0cf39286028f877d066cc2cdf2,10.0,0.0,0.21,0.0,150.0,1.0,0.0,9633.0,0.0,0.0,0.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,237.0,33.0,35.0,0.0,0.0,0.0,0.0,22.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,12.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
