 # ,address,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Bro Tablet,Bro-1,Bro-2,Bro-3,Bro-to-do,Bro-done,Dealer Tablet,Dealer-1,Dealer-2,Dealer-3 , Salt Tablet,Salt-1,Salt-2,Salt-3,Salt-to-do,Salt-done,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,T1: Wood,T1: Cotton,T1: Iron,Rope,S Rock,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Small Stones,Green Hedge,Palm Tree,Wooden Barrel,Bush,Wrecked Cannon,Small Rock and Driftwood,Black Crate,Founder's Trade License,Pirate Lamp,Pirate Pathway,Purple Palm,[FG] Gauntlet Chest I,[FG] Gauntlet Chest II,[FG] Gauntlet Chest III,[FG] Gauntlet Chest IV,Pirate Nation Flag,Kelp,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Fish Food,Crate of Bananas,Barrrbecue,Yellow Sea Flower,Small School of Silver Fish,Bruce Totem,Pink Clamshell,Stone Pathway,Iron Sights
1.0,0xb1b74f5ee6cf6af34768785802ff90e8c5d5ad15,0.0,0.0,384278.0,2.0,4.0,,9.0,6.0,1.0,,0.0,0.0,0.0,0.0,,38.0,0.0,,,,0.0,,0.0,,,,1.0,,1.0,3.0,2.0,,2.0,3.0,,,1.0,1.0,1374.0,1253.0,201.0,43.0,9.0,77.0,173.0,160.0,1.0,6.0,104.0,7.0,1.0,,,,3.0,6.0,1.0,3.0,1.0,3.0,0.0,31.0,84.0,43.0,0.0,56.0,0.0,,,,106.0,173.0,75.0,55.0,1.0,3.0,10.0,4.0,2.0,1.0,2.0,3.0,10.0,36.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,35.0,70.0,76.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x7d9873702ba9aa44e6035b53f5f2654890a07f5b,0.0,0.0,1865.0,0.0,0.0,,0.0,0.0,2.0,,0.0,18.0,12.0,20.0,,0.0,5.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,68.0,178.0,200.0,1.0,0.0,18.0,20.0,20.0,0.0,4.0,4.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0x617ea349796b5cd2b88660955c5d8982c3ed923b,0.0,0.0,3350.0,0.0,1.0,,0.0,0.0,0.0,,2.0,20.0,16.0,18.0,,0.0,0.0,,,,6.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0xa3ef123dbc24ce7dfd1e90382f4ba0fbb66b7845,0.0,0.0,2690.0,0.0,0.0,,0.0,0.0,0.0,,12.0,13.0,8.0,12.0,,0.0,4.0,,,,5.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,24.0,41.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0x435aef955f053094b9ebe800c7776dc5ae6c0699,0.0,0.0,2375.0,0.0,0.0,,0.0,0.0,0.0,,3.0,12.0,13.0,13.0,,0.0,4.0,,,,10.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,102.0,195.0,309.0,0.0,0.0,40.0,60.0,40.0,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0xd66251db492212cb4f46151b2b9c8f36653d3d2c,0.0,0.0,2245.0,0.0,0.0,,0.0,0.0,0.0,,5.0,13.0,15.0,10.0,,0.0,4.0,,,,5.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,169.0,312.0,316.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0xf5919c394259f6ad8baef5478b116f3f794997d2,0.0,0.0,2410.0,0.0,0.0,,0.0,0.0,0.0,,11.0,13.0,12.0,14.0,,0.0,2.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,196.0,386.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0x53d6ee3caa32a07c5cc9c9b6bac1714636651ddb,0.0,0.0,2530.0,0.0,0.0,,0.0,0.0,0.0,,5.0,18.0,14.0,5.0,,0.0,1.0,,,,16.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,115.0,174.0,196.0,1.0,0.0,26.0,28.0,26.0,0.0,5.0,5.0,7.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0x81c7445cdbff27b850f5bd9783936ece0b22f001,0.0,0.0,2490.0,0.0,0.0,,0.0,0.0,0.0,,8.0,16.0,14.0,9.0,,0.0,0.0,,,,7.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,17.0,72.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0xcbe14c14178c48de528fc6c1aab8e8b5a70d7003,0.0,0.0,1910.0,0.0,0.0,,0.0,0.0,1.0,,17.0,13.0,10.0,8.0,,0.0,8.0,,,,1.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,100.0,175.0,211.0,0.0,0.0,24.0,24.0,24.0,0.0,6.0,8.0,7.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
