 # ,address,CR,fights,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Trivia Totem,Bruce Totem,Bandana,Sextant,Beach Loungers,Small Stones,Green Hedge,Palm Tree,Wooden Barrel,Small Fishbone,Bush,Wrecked Cannon,Wrecked Hull,Wrecked Mast,Small Algae Bloom,Orange Crate,Black Crate,Founder's Trade License,Tiki Totem,Idol Dust,Swashbuckler's Squash,Scallywag's Gourd,The Scurvy Specter,Haunted Pathway,Chronicles of Converts,Weathered Headstone,Captain's Altar,Haunted Archway,Pirate Crypt,,Mint Day Cake,Pirate Nation Flag,Topiary Pirate Statue,Energy Coil,Hammock,Pirate Archway,Tiki Head Statue,Stone Pathway,Kelp,Iron Cannon,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Iron Armor,Gold Keg Statue,Crate of Bananas,Pirate's Skiff,A Toast!,[FG] Gauntlet Chest I,Old Salt's Tablet,The Dealer's Tablet,Broseph's Tablet,[FG] Gauntlet Chest II,[FG] Gauntlet Chest III,[FG] Gauntlet Chest IV
1.0,0x084ec1a5b2bfeab562c19d4f584cd8d6cba0e674,10.0,0.0,0.67,42.0,172609.0,,20.0,1.0,0.0,,21.0,0.0,239.0,119.0,3021.0,3048.0,1635.0,39.0,43.0,47.0,,24.0,14.0,7.0,,3.0,4.0,6.0,8.0,16.0,30.0,18.0,17.0,31.0,12.0,138.0,823.0,17.0,,183.0,0.0,30.0,41.0,,39.0,41.0,57.0,31.0,1.0,,,2.0,7.0,8.0,1.0,8.0,1.0,1.0,,1.0,1.0,1.0,4.0,2.0,1.0,2.0,115.0,137.0,83.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,37.0,12.0,3.0,1.0,2.0,7.0,1.0,4.0,132.0,2.0,4.0,4.0,4.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,16.0,7.0,3.0,1.0,259.0,297.0,274.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x6c1c059b1831922c0ad4a7520d5c0e6306624fb5,1.0,2.0,4.62,38.0,3470.0,,0.0,0.0,0.0,,0.0,0.0,7.0,0.0,11.0,24.0,241.0,3.0,0.0,0.0,,3.0,7.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0x6dec2d3f914e1bbd7a6d6849232fefffe7cebe5f,1.0,2.0,0.11,39.0,2120.0,,0.0,0.0,0.0,,12.0,1.0,2.0,0.0,36.0,28.0,107.0,2.0,8.0,8.0,,5.0,23.0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0x1a167a74072a3b3bbeb6b430897c3623208c747d,1.0,2.0,0.09,39.0,2170.0,,0.0,0.0,0.0,,7.0,0.0,4.0,0.0,36.0,84.0,74.0,23.0,45.0,31.0,,9.0,10.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0x6bccae227f1650eba79990cd7e12697535aba363,1.0,2.0,0.35,39.0,2435.0,,0.0,0.0,0.0,,8.0,0.0,4.0,0.0,28.0,66.0,223.0,23.0,44.0,34.0,,15.0,12.0,14.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0x34804db23806929d37ba0805cbc58de7b0b8210a,6.0,4.0,0.28,39.0,2170.0,,0.0,0.0,1.0,,2.0,0.0,1.0,1.0,177.0,150.0,198.0,14.0,21.0,29.0,,6.0,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0xb8c68f8cb5336060a03b72e8793163816e32756c,1.0,2.0,0.35,39.0,2170.0,,0.0,0.0,0.0,,4.0,1.0,4.0,0.0,79.0,71.0,136.0,6.0,14.0,16.0,,8.0,13.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,0x72bf1f7e6f4f04c3544470b01a13c0d05473c790,1.0,2.0,0.35,39.0,2170.0,,0.0,0.0,0.0,,14.0,0.0,1.0,0.0,64.0,93.0,152.0,8.0,8.0,12.0,,6.0,9.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0xb777d537ac1cfedcea91359c3ac935686f9fe444,1.0,2.0,0.34,39.0,2170.0,,0.0,0.0,0.0,,3.0,0.0,5.0,1.0,78.0,110.0,182.0,6.0,14.0,8.0,,6.0,5.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0xe8dd22c38198dde24c857bc24a25e4497dfae231,1.0,2.0,0.11,40.0,2120.0,,0.0,0.0,0.0,,12.0,0.0,2.0,1.0,1.0,30.0,145.0,17.0,14.0,9.0,,14.0,19.0,18.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
