 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Plan-S,Plan-G,Plan-F,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Plans: Skiff I,Plans: Skiff II,Completed Plan: Skiff,Founder's Whoopsie Chest,Trivia Totem,Bruce Totem,Founder's Oops!...I Did It Again Chest,Founder's Platinum Chest,Fishing Poles,Beach Loungers,Small Stones,Green Hedge,Palm Tree,Skeleton on a Rock,Wooden Barrel,Small Sand Castle,Medium Sand Castle,Large Sand Castle,Small Fishbone,Pink Clamshell,Grass Tuft,Hanging Cage,Purple Conch Shell,Bush,Green Bottle,Skull Wagon,Orange Starfish,Pink Shell on Rock,Skeleton with Rum,Wrecked Cannon,Wrecked Hull,Wrecked Crow's Nest,Wrecked Mast,Blue Starfish,White Clam and Driftwood,Yellow Sea Flower,Purple Clam Shell,Scuttled Cargo,Small Rock and Driftwood,Small Algae Bloom,Orange Crate,Founder's Iron Chest,Green Crate,Blue Crate,Purple Crate,Brown Crate,Black Crate,White Crate,Founder's Bronze Chest,Founder's Trade License,Bird of Paradise Plant,Pirate Lamp,Founder's Silver Chest,Pirate Pathway,Short Palm Tree,Tiki Totem,Small Conch Shell,Purple Palm,Pipo's Periwinkle,Founder's Gold Chest,Idol Dust,Swashbuckler's Squash,Scallywag's Gourd,Plunderer's Pumpkin,The Scurvy Specter,Haunted Pathway,Ghoulwood Tree,Chronicles of Converts,Weathered Headstone,Pirate's Gravestone,Captain's Altar,Eternal Rest,Davy's Knuckles,Pirate Crypt,,Mint Day Cake,Pirate Nation Flag,Cherry Blossom Tree,Energy Coil,Triple Wind Mill,Hammock,Pirate Archway,Tiki Head Statue,Inflatable Pirate,Barrrbecue,Stone Pathway,Kelp,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Gold Keg Statue,Iron Sights,Fish Food,Crate of Bananas,The Dealer's Tablet,Old Salt's Tablet,A Toast!,Broseph's Tablet,Broseph's Idol I,Broseph's Idol III,[FG] Gauntlet Chest I
1.0,0x4b042914666772dd11de8a2499a30b2728c31af5,10.0,0.0,0.67,68.15,76.0,99.0,0.0,409024.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,365.0,0.0,1.0,2.0,,4.0,1.0,,1.0,3.0,,5.0,,,16.0,18.0,136.0,2567.0,2199.0,2445.0,432.0,438.0,415.0,3.0,358.0,245.0,307.0,4.0,13.0,18.0,,11.0,26.0,107.0,131.0,118.0,129.0,9.0,269.0,360.0,41.0,1.0,55.0,255.0,251.0,248.0,240.0,161.0,142.0,128.0,67.0,3.0,4.0,5.0,1.0,35.0,1.0,5.0,48.0,63.0,1.0,2.0,31.0,86.0,125.0,1.0,71.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,22.0,20.0,19.0,1.0,39.0,20.0,137.0,41.0,39.0,76.0,1.0,3.0,3.0,11.0,6.0,2.0,4.0,5.0,3.0,5.0,24.0,3.0,3.0,5.0,2.0,19.0,11.0,4.0,4.0,1.0,10.0,15.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,27.0,1.0,5.0,95.0,153.0,128.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x2219d07ba3b17d4070942eb483ac1953cd2f09c1,8.0,16.0,0.93,0.0,119.0,1.0,1.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,3.0,0.0,0.0,63.0,20.0,0.0,21.0,0.0,19.0,8.0,3.0,0.0,1.0,1.0,,1.0,0.0,11.0,8.0,8.0,8.0,3.0,13.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
3.0,0x3935ed387eeaf9b4b4ae3573fa76d2647069709c,8.0,30.0,0.26,0.0,123.0,1.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,4.0,3.0,21.0,25.0,23.0,0.0,25.0,0.0,4.0,2.0,17.0,0.0,0.0,0.0,,0.0,0.0,8.0,14.0,11.0,9.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
4.0,0xd7e23fe7ec77d53895ed1dad1fc908a8ea2ae34b,8.0,28.0,0.37,0.0,120.0,1.0,0.0,505.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,2.0,22.0,94.0,13.0,27.0,6.0,21.0,0.0,7.0,1.0,8.0,0.0,0.0,0.0,,0.0,0.0,9.0,12.0,6.0,12.0,2.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0
5.0,0x0823a4616b0312e6249c9ab664fc6c0f22ecc3ea,8.0,10.0,0.13,0.0,124.0,1.0,0.0,610.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,1.0,18.0,0.0,28.0,6.0,0.0,9.0,0.0,21.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,10.0,7.0,6.0,9.0,5.0,7.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
6.0,0x74b31d272595630f3fc6763be59c06db35162dd8,10.0,0.0,0.75,0.0,121.0,2.0,0.0,575.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,1.0,0.0,30.0,15.0,33.0,1.0,3.0,0.0,0.0,9.0,17.0,6.0,0.0,0.0,0.0,,0.0,0.0,24.0,21.0,17.0,18.0,5.0,12.0,27.0,0.0,0.0,0.0,9.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0
7.0,0x14fd8b07515232f5713776a39858a3afe13d1b24,6.0,1.0,0.04,0.0,150.0,1.0,0.0,2408.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0,,1.0,0.0,,0.0,0.0,,0.0,,,0.0,1.0,4.0,226.0,114.0,223.0,31.0,32.0,34.0,0.0,3.0,8.0,11.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,3.0,0.0,31.0,20.0,0.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0
8.0,0x1e23fafa93dc80da2cf4747c087146a2d679f3cb,9.0,35.0,1.16,0.0,124.0,2.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,2.0,37.0,8.0,29.0,20.0,25.0,23.0,0.0,17.0,5.0,6.0,0.0,0.0,0.0,,0.0,0.0,26.0,12.0,21.0,15.0,0.0,5.0,12.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0
9.0,0x0436f3c58ac882464ff785b0023438908aafb771,9.0,2.0,0.38,0.0,131.0,2.0,0.0,7145.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,28.0,12.0,38.0,0.0,0.0,0.0,,0.0,0.0,13.0,21.0,14.0,18.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0
10.0,0x99027ecc7972ffadc6d965119861c793d9e92792,10.0,0.0,0.08,0.0,125.0,3.0,0.0,800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,1.0,1.0,25.0,25.0,25.0,0.0,8.0,3.0,0.0,32.0,30.0,18.0,0.0,0.0,0.0,,0.0,0.0,41.0,23.0,34.0,23.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0
