 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Plan-S,Plan-G,Plan-F,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Completed Plan: Skiff,Bruce,Founder's Oops!...I Did It Again Chest,Founder's Platinum Chest,Bandana,Sextant,Beach Loungers,Green Hedge,Palm Tree,Skeleton on a Rock,Wooden Barrel,Small Sand Castle,Medium Sand Castle,Small Fishbone,Grass Tuft,Hanging Cage,Purple Conch Shell,Green Bottle,Skull Wagon,Skeleton with Rum,Blue Starfish,Yellow Sea Flower,Small School of Silver Fish,Small Rock and Driftwood,Small Algae Bloom,Red Crate,Orange Crate,Yellow Crate,Purple Crate,Brown Crate,Black Crate,Dark Grey Crate,Grey Crate,White Crate,Founder's Bronze Chest,Founder's Trade License,Pirate Lamp,Founder's Silver Chest,Pirate Pathway,Short Palm Tree,Small Conch Shell,Purple Palm,Pipo's Periwinkle,Swashbuckler's Squash,Scallywag's Gourd,Plunderer's Pumpkin,Haunted Pathway,Ghoulwood Tree,Chronicles of Converts,Weathered Headstone,Pirate's Gravestone,Captain's Altar,Eternal Rest,Davy's Knuckles,Pirate Crypt,,Gold Pirate Statue,Pirate Archway,Tiki Head Statue,Tiki Bar,Inflatable Pirate,Stone Pathway,Kelp,Cannon Fuse,Wooden Column,Iron Rivets,Gold Keg Statue,Fish Food,Crate of Bananas,Bruce Totem,Small Stones,Mint Day Cake,Pirate Nation Flag,Hammock,Iron Armor,Wrecked Mast,Barrrbecue,Wrecked Cannon,Iron Sights,Bush,Tiki Totem,Topiary Pirate Statue,The Scurvy Specter,Wrecked Crow's Nest,Plans: Skiff II
1.0,0x69d62b87d953009308ad4a1f538102e27ab78df5,10.0,0.0,74.48,25.89,32.0,25.0,2.0,116807.0,2.0,0.0,1.0,1.0,34.0,18.0,19.0,118.0,4.0,5.0,,2.0,3.0,15.0,,2.0,0.0,1.0,1.0,,1.0,3.0,160.0,126.0,1213.0,796.0,2321.0,15.0,11.0,14.0,6.0,246.0,258.0,195.0,,1.0,0.0,2.0,3.0,4.0,321.0,281.0,248.0,262.0,29.0,25.0,64.0,12.0,0.0,110.0,37.0,37.0,37.0,44.0,107.0,107.0,103.0,103.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,173.0,187.0,1.0,177.0,9.0,10.0,14.0,3.0,7.0,1.0,1.0,1.0,6.0,1.0,4.0,5.0,1.0,4.0,2.0,22.0,3.0,6.0,6.0,383.0,2.0,107.0,78.0,2.0,5.0,7.0,5.0,3.0,1.0,1.0,1.0,2.0,22.0,28.0,12.0,2.0,46.0,10.0,37.0,19.0,17.0,19.0,6.0,5.0,3.0,1.0,4.0,2.0,1.0,2.0,94.0,40.0,157.0,258.0,234.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x1b5a932411b6d6730050dd729853ca0795548aba,10.0,0.0,79.01,53.32,13.0,3.0,1.0,129053.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,169.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,93.0,130.0,2467.0,2522.0,2220.0,5.0,6.0,5.0,8.0,202.0,283.0,432.0,,1.0,1.0,0.0,0.0,7.0,253.0,229.0,214.0,235.0,28.0,265.0,155.0,9.0,0.0,327.0,24.0,24.0,22.0,21.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,264.0,0.0,229.0,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,1.0,20.0,1.0,327.0,376.0,305.0,3.0,0.0,1.0,2.0,3.0,1.0,8.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0x5df5fec1b36198ca86b237d34ed80b0615748308,10.0,0.0,85.25,0.0,13.0,3.0,1.0,160185.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,288.0,13.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,61.0,103.0,2367.0,1992.0,2267.0,115.0,10.0,10.0,10.0,224.0,203.0,267.0,,0.0,1.0,0.0,0.0,18.0,233.0,206.0,194.0,204.0,16.0,123.0,119.0,10.0,1.0,272.0,29.0,27.0,25.0,24.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,295.0,0.0,179.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,6.0,337.0,310.0,326.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0x19fb405c721190f1d343f83486095df742ece536,10.0,0.0,54.65,0.0,12.0,3.0,0.0,174129.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,252.0,6.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,44.0,80.0,1943.0,1718.0,1571.0,60.0,60.0,60.0,8.0,248.0,198.0,314.0,,0.0,1.0,0.0,0.0,7.0,244.0,250.0,212.0,235.0,12.0,163.0,170.0,13.0,0.0,299.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,264.0,0.0,172.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,3.0,298.0,299.0,349.0,2.0,0.0,1.0,2.0,0.0,1.0,17.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0x7358f92797b44921854341d23cc3d3b2148a0da2,10.0,0.0,10.81,0.0,14.0,3.0,1.0,151448.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,219.0,12.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,,0.0,4.0,64.0,102.0,2495.0,2671.0,2069.0,0.0,0.0,0.0,4.0,199.0,121.0,224.0,,0.0,0.0,0.0,0.0,15.0,228.0,192.0,167.0,204.0,32.0,177.0,162.0,8.0,1.0,297.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,279.0,0.0,169.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,3.0,311.0,376.0,341.0,7.0,1.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0xab8bf6afbb471eecc1b6195e05e828259cb0985f,10.0,0.0,1.25,0.0,7.0,3.0,0.0,179468.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,209.0,18.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,5.0,52.0,105.0,1978.0,1951.0,2183.0,0.0,0.0,0.0,3.0,269.0,140.0,342.0,,0.0,0.0,0.0,1.0,14.0,194.0,216.0,160.0,228.0,35.0,142.0,149.0,9.0,0.0,311.0,19.0,19.0,19.0,17.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,275.0,0.0,207.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,12.0,3.0,311.0,312.0,331.0,1.0,0.0,0.0,0.0,8.0,1.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
7.0,0x700d32a393451cd2f66378c783de695e3a5cf123,10.0,0.0,72.58,0.0,7.0,3.0,0.0,178711.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,258.0,12.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,49.0,105.0,2630.0,2272.0,2149.0,0.0,0.0,0.0,7.0,211.0,179.0,322.0,,0.0,0.0,0.0,0.0,25.0,247.0,205.0,222.0,226.0,17.0,187.0,201.0,7.0,0.0,303.0,13.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,274.0,0.0,165.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0,5.0,352.0,309.0,318.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8.0,0x2704a4434338ce547e4634c129f9bc982e410122,10.0,0.0,88.29,0.0,11.0,3.0,0.0,137895.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,162.0,14.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,78.0,103.0,2357.0,2479.0,1951.0,1.0,1.0,1.0,3.0,137.0,135.0,265.0,,0.0,2.0,0.0,0.0,21.0,208.0,209.0,187.0,227.0,24.0,165.0,169.0,8.0,0.0,280.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,285.0,0.0,197.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,2.0,316.0,318.0,326.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
9.0,0xceea12724db5f64a5f08875dca2574a3c95535f8,10.0,0.0,74.31,42.36,10.0,3.0,0.0,63497.0,12.0,5.0,7.0,0.0,0.0,0.0,0.0,160.0,9.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,5.0,33.0,111.0,1152.0,2359.0,2369.0,0.0,0.0,2.0,3.0,153.0,98.0,294.0,,0.0,0.0,0.0,0.0,6.0,229.0,211.0,224.0,154.0,23.0,78.0,124.0,11.0,1.0,252.0,27.0,27.0,27.0,27.0,10.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,215.0,0.0,151.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,5.0,278.0,266.0,298.0,2.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0xf5254fb9f78f9f19fa63d6ca3e080f975b231d75,9.0,35.0,1.16,0.0,9.0,2.0,1.0,3923.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,57.0,25.0,50.0,1.0,20.0,1.0,0.0,7.0,4.0,3.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
