 # ,address,CR,fights,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Pirate's Skiff,Completed Plan: Skiff,Bruce,Founder's Platinum Chest,Bandana,Sextant,Beach Loungers,Green Hedge,Palm Tree,Skeleton on a Rock,Wooden Barrel,Small Sand Castle,Medium Sand Castle,Small Fishbone,Grass Tuft,Hanging Cage,Purple Conch Shell,Green Bottle,Skull Wagon,Skeleton with Rum,Blue Starfish,Yellow Sea Flower,Small School of Silver Fish,Small Rock and Driftwood,Small Algae Bloom,Red Crate,Orange Crate,Yellow Crate,Purple Crate,Brown Crate,Black Crate,Dark Grey Crate,Grey Crate,White Crate,Founder's Trade License,Pirate Lamp,Pirate Pathway,Short Palm Tree,Small Conch Shell,Purple Palm,Pipo's Periwinkle,Swashbuckler's Squash,Scallywag's Gourd,Plunderer's Pumpkin,Haunted Pathway,Ghoulwood Tree,Chronicles of Converts,Weathered Headstone,Pirate's Gravestone,Captain's Altar,Eternal Rest,Davy's Knuckles,Pirate Crypt,,Pirate Nation Flag,Gold Pirate Statue,Pirate Archway,Tiki Head Statue,Tiki Bar,Inflatable Pirate,Stone Pathway,Kelp,Cannon Fuse,Wooden Column,Iron Rivets,Gold Keg Statue,Fish Food,Crate of Bananas,Overworld Galleon,Bruce Totem,Small Stones,Mint Day Cake,Hammock,Iron Armor,Wrecked Mast,Barrrbecue,Wrecked Cannon,Iron Sights,Bush,Topiary Pirate Statue,The Scurvy Specter,Wrecked Crow's Nest,Plans: Skiff II
1.0,0x69d62b87d953009308ad4a1f538102e27ab78df5,10.0,0.0,154.44,31.0,76613.0,3.0,4.0,1.0,4.0,0.0,168.0,21.0,194.0,98.0,1564.0,1795.0,2458.0,57.0,60.0,62.0,6.0,481.0,517.0,518.0,,,,0.0,2.0,3.0,191.0,111.0,107.0,118.0,19.0,169.0,51.0,11.0,0.0,117.0,20.0,19.0,19.0,18.0,88.0,88.0,88.0,88.0,,1.0,,,4.0,1.0,4.0,1.0,14.0,5.0,11.0,10.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,126.0,146.0,1.0,146.0,8.0,5.0,12.0,3.0,7.0,1.0,1.0,1.0,6.0,1.0,4.0,11.0,1.0,4.0,2.0,22.0,3.0,6.0,6.0,373.0,2.0,107.0,78.0,5.0,14.0,3.0,1.0,1.0,1.0,2.0,22.0,28.0,12.0,2.0,46.0,10.0,37.0,19.0,17.0,20.0,3.0,5.0,47.0,31.0,1.0,4.0,2.0,1.0,2.0,83.0,38.0,144.0,273.0,228.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x1b5a932411b6d6730050dd729853ca0795548aba,10.0,0.0,28.9,5.0,76189.0,1.0,7.0,0.0,1.0,0.0,216.0,11.0,83.0,78.0,200.0,200.0,200.0,48.0,35.0,30.0,8.0,249.0,304.0,421.0,,,,0.0,0.0,7.0,123.0,104.0,74.0,131.0,18.0,281.0,147.0,9.0,0.0,322.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,202.0,0.0,194.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,319.0,370.0,298.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0x5df5fec1b36198ca86b237d34ed80b0615748308,10.0,0.0,66.35,5.0,68475.0,5.0,7.0,1.0,1.0,0.0,188.0,18.0,59.0,63.0,200.0,200.0,200.0,29.0,56.0,26.0,10.0,196.0,183.0,258.0,,,,2.0,0.0,17.0,117.0,100.0,79.0,110.0,15.0,181.0,152.0,10.0,1.0,270.0,5.0,5.0,5.0,5.0,21.0,15.0,15.0,15.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,249.0,0.0,148.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,332.0,308.0,325.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0x19fb405c721190f1d343f83486095df742ece536,10.0,0.0,98.64,2.0,69231.0,2.0,7.0,1.0,1.0,0.0,244.0,11.0,45.0,55.0,200.0,200.0,200.0,65.0,60.0,71.0,8.0,198.0,181.0,271.0,,,,1.0,4.0,7.0,95.0,136.0,86.0,112.0,0.0,187.0,144.0,11.0,0.0,299.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,244.0,0.0,159.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,296.0,298.0,349.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0x7358f92797b44921854341d23cc3d3b2148a0da2,10.0,0.0,17.65,4.0,68038.0,2.0,7.0,1.0,1.0,0.0,110.0,20.0,59.0,57.0,200.0,200.0,200.0,18.0,13.0,16.0,4.0,166.0,142.0,208.0,,,,2.0,1.0,9.0,95.0,91.0,62.0,107.0,29.0,195.0,153.0,8.0,1.0,290.0,4.0,4.0,3.0,3.0,15.0,15.0,15.0,15.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,231.0,0.0,149.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,31.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,302.0,366.0,332.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,0xab8bf6afbb471eecc1b6195e05e828259cb0985f,10.0,0.0,2.75,5.0,75186.0,3.0,7.0,1.0,2.0,2.0,162.0,13.0,52.0,71.0,200.0,24.0,21.0,53.0,69.0,55.0,3.0,187.0,118.0,265.0,,,,0.0,0.0,11.0,90.0,109.0,68.0,118.0,29.0,217.0,153.0,8.0,0.0,308.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,232.0,0.0,182.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,310.0,310.0,330.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7.0,0x700d32a393451cd2f66378c783de695e3a5cf123,10.0,0.0,69.9,2.0,149679.0,1.0,7.0,1.0,1.0,0.0,158.0,8.0,45.0,65.0,200.0,200.0,200.0,30.0,33.0,11.0,7.0,165.0,152.0,281.0,,,,2.0,3.0,19.0,109.0,94.0,96.0,118.0,15.0,198.0,149.0,6.0,0.0,300.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,246.0,0.0,143.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,347.0,299.0,311.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8.0,0x2704a4434338ce547e4634c129f9bc982e410122,10.0,0.0,15.14,3.0,78349.0,1.0,7.0,1.0,1.0,1.0,171.0,20.0,78.0,53.0,200.0,200.0,200.0,43.0,35.0,26.0,3.0,169.0,139.0,260.0,,,,2.0,5.0,19.0,107.0,81.0,68.0,126.0,17.0,196.0,135.0,8.0,0.0,279.0,16.0,16.0,16.0,13.0,15.0,15.0,15.0,15.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,244.0,0.0,162.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,315.0,317.0,324.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
9.0,0xceea12724db5f64a5f08875dca2574a3c95535f8,10.0,0.0,60.49,2.0,71530.0,5.0,20.0,0.0,9.0,2.0,218.0,10.0,57.0,80.0,3200.0,3200.0,3200.0,28.0,26.0,27.0,3.0,179.0,93.0,273.0,,,,2.0,1.0,2.0,99.0,92.0,96.0,60.0,16.0,71.0,59.0,9.0,0.0,259.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,182.0,0.0,127.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,278.0,280.0,298.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0xf5254fb9f78f9f19fa63d6ca3e080f975b231d75,7.0,12.0,1.36,16.0,1134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
