 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Plan-S,Plan-G,Plan-F,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Overworld Galleon,Marks Frigate,Founder's Oops!...I Did It Again Chest,Palm Tree,Purple Clam Shell,Black Crate,Tiki Totem,,Pirate Nation Flag,Kelp,Cannon Fuse,Wooden Column,Iron Rivets,Gold Keg Statue,Small Stones,Green Hedge,Founder's Trade License,Chronicles of Converts,Iron Sights,Fish Food,Crate of Bananas,Pirate's Skiff,Plans: Skiff I,Plans: Skiff II,Founder's Whoopsie Chest,Founder's Platinum Chest,Founder's Iron Chest,Founder's Bronze Chest,Founder's Silver Chest,Founder's Gold Chest,Grey Crate,Purple Palm,Pipo's Periwinkle,Iron Cannon
1.0,0xf1d88980505e00db65609ec5420f40c3eb1b77fd,9.0,5.0,46.61,0.0,22.0,36.0,0.0,1994987.0,2.0,1.0,3.0,1.0,0.0,0.0,,688.0,13.0,0.0,,,0.0,,0.0,,,,,,,0.0,9.0,33.0,211.0,196.0,149.0,45.0,96.0,4.0,0.0,3.0,54.0,158.0,,15.0,20.0,4.0,23.0,0.0,32.0,15.0,22.0,25.0,4.0,6.0,92.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,42.0,1.0,5.0,6.0,1.0,4.0,5.0,35.0,21.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x487a065bfe61e8627507b87307b7a0f51434c45c,7.0,2.0,26.58,0.0,150.0,1.0,0.0,993741.0,1.0,19.0,15.0,0.0,0.0,1.0,,463.0,9.0,0.0,,,0.0,,0.0,,,,,,,25.0,144.0,46.0,146.0,63.0,103.0,1097.0,1025.0,1404.0,1.0,319.0,552.0,722.0,,0.0,0.0,0.0,0.0,0.0,304.0,356.0,358.0,259.0,28.0,451.0,713.0,30.0,0.0,542.0,10.0,10.0,129.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,3.0,45.0,6.0,592.0,390.0,596.0,0.0,37.0,5.0,14.0,64.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0x3e217acf69b9a198d5640a1ea905f8f39480a9b0,2.0,1.0,2.38,0.0,150.0,1.0,0.0,4525.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,29.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0xb1998f30dd38f39eb15c519b3e8ac8e98b6b0764,4.0,8.0,0.0,0.0,48.0,1.0,0.0,7240.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,8.0,36.0,48.0,5.0,3.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0x6c3ee0628e1aa77ecb26198abd3cf4e3183ac93e,4.0,5.0,4.76,0.0,46.0,1.0,0.0,8245.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,31.0,11.0,29.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0xe9aaefdf398d6e10e88dd953db301cc88f9955d5,4.0,6.0,0.0,0.0,50.0,1.0,0.0,7215.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,12.0,13.0,29.0,5.0,14.0,5.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0xdfa57cdd20439ad1d952b437ac40c656632a402a,5.0,9.0,0.0,0.0,150.0,1.0,0.0,2695.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,33.0,48.0,56.0,10.0,10.0,10.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0x062b0613a91603975b330c4fa4bbd17feeefd130,9.0,32.0,2.38,0.0,79.0,1.0,0.0,390.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,2.0,0.0,,,0.0,,0.0,,,,,,,0.0,1.0,0.0,3.0,79.0,4.0,17.0,32.0,21.0,0.0,15.0,8.0,14.0,,1.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0x4e02f7384c1fa4f3339ba3fa99a200f003bc1afe,4.0,3.0,0.0,0.0,51.0,1.0,0.0,5880.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,27.0,7.0,37.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0xced72f43a10506c0906ea38a0be9a759fe382377,2.0,2.0,2.38,0.0,29.0,1.0,0.0,4285.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,8.0,4.0,33.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
