 # ,address,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Cutlass,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,T1: Wood,T1: Cotton,T1: Iron,Rope,S Rock,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Completed Plan: Skiff,Founder's Whoopsie Chest,Bruce,Founder's Oops!...I Did It Again Chest,Founder's Platinum Chest,Bandana,Sextant,Beach Loungers,Green Hedge,Palm Tree,Wooden Barrel,Small Sand Castle,Medium Sand Castle,Small Fishbone,Grass Tuft,Purple Conch Shell,Bush,Green Bottle,Skull Wagon,Wrecked Hull,Blue Starfish,Yellow Sea Flower,Small Algae Bloom,Red Crate,Founder's Iron Chest,Yellow Crate,Purple Crate,Brown Crate,Black Crate,Grey Crate,White Crate,Founder's Bronze Chest,Founder's Trade License,Pirate Lamp,Founder's Silver Chest,Pirate Pathway,Short Palm Tree,Small Conch Shell,Purple Palm,Founder's Gold Chest,Pirate Nation Flag,Gold Pirate Statue,Tiki Head Statue,Stone Pathway,Kelp,Cannon Fuse,Wooden Column,Iron Rivets,Gold Keg Statue,Fish Food,Crate of Bananas,Overworld Galleon,Bruce Totem,Small Stones,Small Rock and Driftwood,Wrecked Mast,Barrrbecue,Wrecked Cannon,Iron Sights,Topiary Pirate Statue,Plans: Skiff II
1.0,0x69d62b87d953009308ad4a1f538102e27ab78df5,7.29,11.0,15073.0,6.0,0.0,1.0,11.0,28.0,11.0,19.0,71.0,1.0,4.0,5.0,,1.0,,,1.0,1.0,,1.0,,2165.0,3508.0,152.0,3.0,24.0,241.0,183.0,235.0,1.0,169.0,293.0,248.0,,0.0,,,0.0,2.0,106.0,43.0,71.0,14.0,154.0,103.0,10.0,4.0,18.0,0.0,0.0,0.0,0.0,77.0,77.0,78.0,70.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,25.0,24.0,35.0,6.0,4.0,11.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,6.0,6.0,28.0,9.0,18.0,1.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,32.0,143.0,93.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x1b5a932411b6d6730050dd729853ca0795548aba,0.57,11.0,33404.0,1.0,0.0,0.0,1.0,18.0,71.0,6.0,32.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,1017.0,515.0,1302.0,19.0,6.0,54.0,37.0,33.0,2.0,67.0,137.0,160.0,,0.0,,,0.0,0.0,55.0,58.0,66.0,16.0,253.0,466.0,5.0,7.0,132.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,76.0,80.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,3.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,202.0,192.0,169.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0x5df5fec1b36198ca86b237d34ed80b0615748308,16.72,11.0,43852.0,1.0,0.0,1.0,1.0,8.0,31.0,6.0,45.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,1135.0,424.0,1010.0,11.0,1.0,57.0,52.0,27.0,6.0,83.0,94.0,71.0,,0.0,,,0.0,1.0,59.0,49.0,51.0,14.0,163.0,87.0,7.0,21.0,89.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,50.0,29.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,139.0,130.0,158.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0x19fb405c721190f1d343f83486095df742ece536,15.39,11.0,41016.0,1.0,1.0,1.0,1.0,14.0,31.0,5.0,34.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,1006.0,589.0,1426.0,20.0,0.0,46.0,36.0,28.0,1.0,54.0,118.0,80.0,,0.0,,,1.0,0.0,45.0,55.0,43.0,4.0,175.0,83.0,9.0,23.0,119.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,53.0,34.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,1.0,131.0,126.0,165.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0
5.0,0x7358f92797b44921854341d23cc3d3b2148a0da2,15.4,14.0,34646.0,1.0,1.0,1.0,1.0,11.0,14.0,0.0,38.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,908.0,497.0,1337.0,16.0,0.0,44.0,38.0,26.0,1.0,40.0,86.0,59.0,,0.0,,,0.0,2.0,47.0,47.0,51.0,22.0,185.0,100.0,7.0,13.0,105.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,51.0,39.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,1.0,112.0,171.0,136.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0
6.0,0xab8bf6afbb471eecc1b6195e05e828259cb0985f,15.37,11.0,22123.0,1.0,0.0,1.0,1.0,7.0,22.0,3.0,42.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,532.0,520.0,1226.0,0.0,0.0,48.0,62.0,40.0,0.0,34.0,48.0,91.0,,2.0,,,0.0,0.0,39.0,55.0,69.0,23.0,188.0,93.0,4.0,13.0,117.0,0.0,0.0,0.0,0.0,15.0,16.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,57.0,46.0,5.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0.0,7.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,5.0,0.0,134.0,147.0,125.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0
7.0,0x700d32a393451cd2f66378c783de695e3a5cf123,15.37,12.0,24436.0,1.0,0.0,1.0,1.0,13.0,17.0,2.0,34.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,892.0,412.0,1458.0,19.0,18.0,45.0,54.0,32.0,2.0,34.0,103.0,101.0,,0.0,,,0.0,4.0,41.0,51.0,52.0,12.0,181.0,83.0,5.0,8.0,105.0,0.0,0.0,0.0,0.0,15.0,16.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,51.0,33.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,19.0,1.0,157.0,130.0,136.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
8.0,0x2704a4434338ce547e4634c129f9bc982e410122,15.39,11.0,39868.0,1.0,0.0,1.0,1.0,19.0,21.0,8.0,23.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,972.0,360.0,1341.0,23.0,2.0,53.0,32.0,29.0,4.0,26.0,80.0,65.0,,0.0,,,0.0,4.0,48.0,36.0,49.0,16.0,172.0,78.0,4.0,25.0,119.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,50.0,42.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,112.0,135.0,144.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
9.0,0xceea12724db5f64a5f08875dca2574a3c95535f8,15.39,11.0,32891.0,0.0,0.0,0.0,1.0,7.0,16.0,1.0,31.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,867.0,436.0,1197.0,10.0,6.0,41.0,66.0,26.0,1.0,70.0,69.0,59.0,,0.0,,,0.0,0.0,37.0,28.0,28.0,12.0,128.0,74.0,7.0,8.0,93.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,37.0,30.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,93.0,103.0,133.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0
10.0,0xf5254fb9f78f9f19fa63d6ca3e080f975b231d75,0.5,12.0,1921.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,79.0,72.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
